# most_likely]
a lot-"many" or "much"|allot-to distribute something
a priori-Based on hypothesis or theory rather than experiment. It does not mean "in advance".
abdicate-to resign from the throne, or more loosely to cast off a responsibility|abrogate-to repeal (do away with) a law or abolish (put an end to) an arrangement, arrogate-to attempt to take on a right or responsibility to which one is not entitled.
except-a preposition that-"apart from". Also occasionally used as a verb, meaning to take out or to leave out.|accept-a verb that-"agree with", "take in", or "receive".
acute-means "sharp", as an acute illness is one that rapidly worsens and reaches a crisis.|chronic-an illness that may also be a severe one, but it is long-lasting, lingering, or having a long history.
adverse-commonly used as an attributive adjective (before the noun). Meaning unfavorable, contrary or hostile.|Averse-having a strong feeling of opposition, antipathy, or repugnance. 
aesthetic-relates to an appealing or unappealing visual look or atmosphere.|Ascetic-expresses the avoidance of pleasure due to self-discipline.
affect-verb,"to influence something"|effect-noun,"the result of".|effect-verb,"to cause  to be"|affect-noun,an emotion or subjectively experienced feeling. (HINT: If something affects you it usually has an effect on you.)
aggravate-"to make worse".|mitigate-"to make less bad" as in "Mitigating factor"
algorithm-a step-by-step procedure, usually for calculation, the processing of data, or choosing among alternatives.|logarithm-mathematical term for a number where the power (i.e., exponent) to which a specified base must be raised to produce that number.
allusion-an indirect or metaphorical reference to something|illusion-false picture of something that is there|hallucination-seeing something that is not there.
appraise-assess or value something|apprise-to teach or inform.
are-the second-person singular present and the first-, second-, and third-person plural present of the verb be.|our-"belonging to us".
on-resting immediatly upon|around-"encircling, in the vicinity of, or near". Alternatively it can designate a general, unspecified end or direction, as in "walking around".|about-"in the vicinity of"
assent-agree or agreement|ascend-go up or advance from an original position.
assure-to give a person confidence|ensure-to make certain of|insure-purchase insurance.
awaken-waking in the present tense|awakened-waking in the past tense. The soft form awakened has become more common than "awoken"|awoken-waking in the past tense. Awoken is the original "hard verb" inflection of "to wake"
barter-to exchange goods rather than carrying out commercial transactions using money|haggle-to negotiate a price|banter-noun,a friendly or good-natured exchange of remarks
amused-being entertained|bemused-perplexed or bewildered
bisect-to cut into two|dissect-"to cut apart", both literally and figuratively.
born-when a living creature enters the world through the birthing process|borne-carry, realize, or bear something.
breath-noun,the air that is inhaled or exhaled from the lungs|breathe-verb,the act of inhaling or exhaling.
buy-purchase or spend money on something|by-proposition,close to, or indicating who did something.
cash-physical paper money|cache-a storage place from which items may be quickly retrieved|cachet-a seal or mark, such as a wax seal on an envelope or a mark of authenticity on a product (usually used figuratively to mean "marked by excellence, distinction or superiority").
can't-a contraction of cannot.|cant-a slope or slant, or a kind of slang or jargon spoken by a particular group of people,"Canting arms" is a coat-of-arms that represents meaning of the bearer's surname.
canvas-a type of fabric known for being tough and strong.|Canvass-a way to try to get people’s support or find out where their support lies.
complimentary-an item given without charge, praise given to someone or something|complementary-things or people that go together well
compliment-a statement of admiration|complement-an accessory
complacency-self-satisfaction especially when accompanied by unawareness of actual dangers or deficiencies.|complaisance-the willingness to comply with the wishes of others.
contiguous-"touching" or "adjoining in space"|continual-"repeated in rapid succession"|continuous-"uninterrupted" (in time or space).
contingency-a possible event.|contingent-noun,a group of representatives
copyright-legal protection of a work prohibiting its duplication without permission.|copy write-make written copies for manuals, press releases, or advertisements
crutch-a device that assists motion, especially one that sits under the armpit. Metaphorically, something that supports, often negatively to imply unnecessary dependency.|crotch-an area where something branches or forks off in two directions, for exmaple where a person's legs fork from the body
devastate-destroy or ruin most of something.|decimate-damage or remove a large portion of something, often one-tenth (Latin decem=tenth)
defuse-remove the fuse from a bomb, or in general to render a situation less dangerous|diffuse-disperse randomly. Diffuse can also be used as an adjective, meaning "not concentrated".
desert-a barren or uninhabited place; an older meaning of the word is "what one deserves", as in the idiom just deserts.|dessert-the last course of a meal.
disassemble-to dismantle|dissemble-to tell lies.
disperse-to scatter|disburse-to give out
discreet-circumspect, careful, low-key|discrete-having separate parts, as opposed to contiguous.
disingenuous-naive or pretending to be naive|disingenious-misspelled disingenuous, sarcastically not a genius.
disinterested-to have no personal stake in a particular side of an issue.|uninterested-to not be interested in or intrigued by something.
e.g.-stands for the Latin exempli gratiā "for example", and should be used when the example(s) given are just one or a few of many|i.e.-stands for the Latin id est "that is", and is used to give the ONLY example(s) or to otherwise qualify the statement just made.
economic-having to do with the economy|economical-financially prudent, frugal, and also figuratively, "use sparingly"
neither-joins two negative statements which are both being excluded "neither this nor that is acceptable"|either-a choice between two or more things
immigration-the process of settling in a new country|emigration-the process of leaving your country
eminent-emerging,illustrious or highly-regarded|preeminent-most highly-regarded|imminent-immediate, about to occur.|immanent-theological term, mening indwelling or pervading
emojis-actual pictures representing emotions online|emoticons-typographic displays of a facial representation, e.g. :-).
epitome-a typical or ideal example of something|epidemy-an epidemic disease.
exasperate-to exhaust, usually someone's patience.|exacerbate-to make worse
expedient-done conveniently or quickly, but possibly improperly|expeditious-done efficiently, and does not carry any negative connotation.
