absence 	absents 					
accede 	axseed 					
accepter 	acceptor 					
accidence 	accidents 					
acclamation 	acclimation 					
ad 	add 					
adds 	ads 	adze 				
aerial 	areal 					
aid 	aide 					
adherence 	adherents 					
adolescence 	adolescents 					
adulteress 	adulterous 					
adventuress 	adventurous 					
aerie 	aery 	airy 	eyrie 			
aes 	ease 					
ai 	aye 	eye 	I 			
ail 	ale 					
air 	aire 	are 	ayre 	ere 	eyre 	heir
aisle 	I’ll 	isle 				
ait 	ate 	eight 				
all 	awl 					
allowed 	aloud 					
allusion 	elusion 	illusion 				
alms 	arms 					
altar 	alter 					
analyst 	annalist 					
ant 	aunt 					
ante 	anti 	auntie 				
apatite 	appetite 					
appose 	oppose 					
apps 	apse 					
arc 	ark 					
aren’t 	aunt 					
as 	ass 	asse 				
ascent 	assent 					
assistance 	assistants 					
attendance 	attendants 					
auger 	augur 					
aught 	ought 					
auk 	awk 	orc 				
aural 	oral 					
auricle 	oracle 					
autarchy 	autarky 					
away 	aweigh 					
awe 	oar 	or 	ore 			
awful 	offal 					
axel 	axil 	axle 				
axes 	axis 					
ayes 	eyes 					
baa 	bah 					
bad 	bade 					
bail 	bale 					
bailee 	bailey 	bailie 				
bailer 	bailor 	baler 				
bait 	bate 					
baize 	bays 	beys 				
bald 	balled 	bawled 				
ball 	bawl 					
balm 	bomb 					
baloney 	bologna 					
ban 	bann 					
band 	banned 					
bar 	barre 					
bard 	barred 					
bare 	bear 					
bark 	barque 					
baron 	barren 					
barrel 	beryl 					
basal 	basil 					
base 	bass 					
based 	baste 					
basest 	bassist 					
bask 	basque 					
bat 	batt 					
baud 	bawd 					
bay 	bey 					
bazaar 	bizarre 					
be 	bee 					
beach 	beech 					
bean 	been 					
beat 	beet 					
beau 	bow 					
beaut 	butte 					
been 	bin 					
beer 	bier 					
bees 	bise 					
beetle 	betel 					
bel 	bell 	belle 				
belligerence 	belligerents 					
berg 	burg 					
berry 	bury 					
berth 	birth 					
better 	bettor 					
bi 	buy 	by 	bye 			
bight 	bite 	byte 				
billed 	build 					
bird 	burd 	burred 				
bit 	bitt 					
bitten 	bittern 					
blair 	blare 					
blend 	blende 					
blew 	blue 					
bloc 	block 					
boar 	bore 					
board 	bored 					
boarder 	border 					
bocks 	box 					
bode 	bowed 					
bogey 	bogie 	bogy 				
bold 	bowled 					
bolder 	boulder 					
bole 	boll 	bowl 				
boos 	booze 					
bootee 	booty 					
born 	bourn 	bourne 				
borough 	burro 	burrow 				
bough 	bow 					
bouillon 	bullion 					
boy 	buoy 					
brae 	bray 					
braes 	braise 	brays 	braze 			
braid 	brayed 					
brain 	brane 					
brake 	break 					
brassie 	brassy 					
breach 	breech 					
bread 	bred 					
brewed 	brood 					
brews 	bruise 					
bridal 	bridle 					
broach 	brooch 					
broom 	brougham 					
brows 	browse 					
bruit 	brut 	brute 				
buccal 	buckle 					
bundt 	bunt 					
bur 	burr 					
burger 	burgher 					
burley 	burly 					
bus 	buss 					
bused 	bussed 	bust 				
but 	butt 					
buyer 	byre 					
cache 	cash 					
cachou 	cashew 					
caddie 	caddy 	cadi 				
cain 	cane 					
caird 	cared 					
calculous 	calculus 					
calendar 	calender 					
calix 	calyx 					
calk 	caulk 					
call 	caul 	col 				
callous 	callus 					
camara 	camera 					
came 	kame 					
can’t 	cant 					
canape 	canopy 					
cannon 	canon 					
canter 	cantor 					
canvas 	canvass 					
capital 	capitol 					
carat 	caret 	carrot 	karat 			
caries 	carries 					
carol 	carrel 					
carpal 	carpel 					
cart 	kart 					
cask 	casque 					
cast 	caste 					
caster 	castor 					
caudal 	caudle 					
caught 	court 					
cause 	caws 					
caw 	core 	corps 				
cay 	key 	quay 				
cedar 	ceder 	seeder 				
cede 	seed 					
ceil 	seal 	seel 				
ceiling 	sealing 					
cel 	cell 	sell 				
cellar 	seller 					
cense 	cents 	scents 	sense 			
censer 	censor 	senser 	sensor 			
census 	senses 					
cent 	scent 	sent 				
cerate 	serrate 					
cere 	sear 	seer 	sere 			
cereal 	serial 					
cession 	session 					
cete 	seat 					
chair 	chare 					
chaise 	shays 					
champagne 	champaign 					
chance 	chants 					
chantey 	chanty 	shanty 				
chard 	charred 					
chary 	cherry 					
chased 	chaste 					
cheap 	cheep 					
check 	cheque 					
chews 	choose 					
chic 	sheik 					
chili 	chilly 					
chin 	chine 					
chitin 	chiton 	kitten 				
choc 	chock 					
choir 	quire 					
choler 	collar 					
choral 	coral 					
chorale 	corral 					
chord 	cord 	cored 				
chordate 	cordate 					
chott 	shot 					
chough 	chuff 					
chrism 	chrisom 					
chronical 	chronicle 					
chucker 	chukker 					
chute 	shoot 					
chyle 	kill 					
cinque 	sink 	sync 				
cinque 	sank 					
cirrous 	cirrus 	serous 				
cist 	cyst 					
cist 	kissed 	kist 				
cite 	sight 	site 				
clabbered 	clapboard 					
clack 	claque 					
clairvoyance 	clairvoyants 					
clause 	claws 					
clew 	clue 					
click 	clique 	klick 				
climb 	clime 					
close 	cloze 					
coal 	cole 	kohl 				
coarse 	course 					
coat 	cote 					
coax 	cokes 					
cocks 	cox 					
coco 	cocoa 					
coddling 	codling 					
coffer 	cougher 					
coin 	quoin 					
collard 	collared 					
colonel 	kernel 					
color 	culler 					
come 	cum 					
complacent 	complaisant 					
compleat 	complete 					
complement 	compliment 					
con 	conn 	khan 				
concent 	consent 					
conch 	conk 					
condescendence 	condescendents 					
confectionary 	confectionery 					
conker 	conquer 					
consulter 	consultor 					
continence 	continents 					
coo 	coup 					
coolie 	coolly 	coulee 	coulis 			
cop 	kop 					
cops 	copse 					
coquet 	coquette 					
correspondence 	correspondents 					
cosey 	cosy 	cozy 				
cosher 	kosher 					
cosign 	cosine 					
cot 	khat 					
council 	counsel 					
councilor 	counselor 					
courtesy 	curtsy 					
cousin 	cozen 					
coward 	cowered 					
coy 	koi 					
craft 	kraft 					
crape 	crepe 					
crater 	krater 					
creak 	creek 					
crewed 	crude 					
crewel 	cruel 					
crews 	cruise 	cruse 				
cross 	crosse 					
crumby 	crummie 	crummy 				
