good|High on any list of most used English words is “good.” While this word may appear to be the perfect adjective for nearly anything, that is precisely what makes it so vague. Try getting more specific. If something’s going well, try “superb,” “outstanding” or “exceptional.”,
new|Another of the common words in English is “new.” “New” is an adjective that doesn’t always set off alarm bells, so it can be easy to forget about. Give your writing more punch by ditching “new” and using something like “latest” or “recent” instead.,
long|Much like “new,” “long” is spent, yet it doesn’t always register as such while you’re writing. Instead of this cliché phrase, try describing exactly how long it is| “extended,” “lingering” or “endless,” for example.,
old|“Old” is certainly one of those common words that means more to readers if you’re specific about how old a subject is. Is it “ancient,” “fossilized,” “decaying” or “decrepit”?,
right|“Right” is also among the common words that tends to slip through our writer filters. If somebody is correct, you could also say “exact” or “precise.” Don’t let habit words like “right” dampen your writing.,
different|Here’s another adjective that falls a bit flat for readers, but can also easily be improved by getting more specific. Saying something is “odd” or “uncommon” is very different than saying it is “exotic” or “striking.”,
small|“Small” is another adjective that is too generic for writing as good as yours. Use “microscopic,” “miniature” or “tiny” instead. Even using “cramped” or “compact” is more descriptive for your audience.,
large|Just like relying too much on “small,” we tend to describe large things as, well, “large.” Specificity is a big help with this one too| could your subject be “substantial,” “immense,” “enormous” or “massive”?,
next|Whenever we describe something coming “next,” we run the risk of losing our readers. Good options to make your reading more powerful include “upcoming,” “following” or “closer.”,
young|Another case of being too generic is what makes “young” a problematic adjective. If you want your writing to be more captivating, try switching “young” out for “youthful,” “naive” or “budding.”,
never|“Never” is also among common words to use sparingly. Not only is it a common, stale descriptor, it’s also usually incorrect. For something to never happen, even one instance makes this word inaccurate. Try “rarely,” “scarcely” or “occasionally” instead.,
things|“Things” is another repeat offender when it comes to worn out words. Another word where specificity is the key, try replacing “things” with “belongings,” “property” or “tools.”,
all|Just like “never,” “all” is an encompassing, absolute term. Not only is “all” unoriginal, it’s not usually factual. Try using “each” and “copious” instead.,
feel|“Feel” is also in the company of common English words. Try using “sense,” or “discern” instead. You can also move your sentence into a more active tense| “I feel hungry” could become “I’m famished,” for example.,
seem|“Seem” is bad habit word we are all guilty of using. Regardless of how well you think your sentence is constructed, try switching “seem” out for “shows signs of.” “Comes across as” is another good option to give your writing more power.,
almost|Another easy adjective to let slip by, “almost” is a wasted opportunity to engage your readers. “Almost” is more interesting if you say “practically,” “nearly” or “verging on” instead.,
just|“Just making” it or “just barely” affording something isn’t very descriptive. To truly grab a reader, we must do better. Try “narrowly,” “simply” or “hardly” to give your phrasing more weight.,
went|Last but not least, avoid using the common word “went” to describe your subject. “Went” is a word that lacks traction. Try using “chose,” “decided on” or “rambled” to truly grab your readers.
